"ID","SSN","Phase","PhaseAbbr","Period","archInterp_1","funcInterp_1","archInterp_2","funcInterp_2","xxx","Occu_1","Occu_2","Occu"
1929,483,"Patlachique-Tzacualli","PMic","EC","casa humilde","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1930,483,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1931,483,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1932,483,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1933,484,"Patlachique-Tzacualli","PMic","EC","casa humilde","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1934,484,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1935,484,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1936,484,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1937,485,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1938,485,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1939,485,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1940,485,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1941,486,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1942,486,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1943,486,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1944,486,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1945,487,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1946,487,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1947,487,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1948,487,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1949,488,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1950,488,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1951,488,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1952,488,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1953,489,"Patlachique-Tzacualli","PMic","EC","temple base (incl. platforms & multi-tiered platforms)","temple platform","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1954,489,"Miccaotli-Tlamimilolpa","McTl","MC","temple base (incl. platforms & multi-tiered platforms)","temple platform","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
